idxtype,data.type,varname.disp,decades,val.mean,val.sd,val.min,val.median,val.max
common,Integrated Indices,NA,2015,0.494809887069064,0.051318935309406906,0.3858379204958858,0.4917178455985094,0.680567689088529
common,Integrated Indices,NA,2030,0.4976947874499283,0.06371920875653923,0.32113403245336286,0.5040303265601523,0.6899251264230206
common,Integrated Indices,NA,2050,0.47672888872888186,0.09331291405057413,0.20425703463794578,0.4840944355792167,0.733906888766144
common,Integrated Indices,NA,2090,0.5948959799410353,0.136851380775706,0.24269993683989444,0.6065477345188581,0.8468776557938382
common,Raw Indices,Dissimilarity-based Satoyama Index,2015,0.0338261036889229,0.0038226258771410153,0.028349284403147303,0.03315710980523236,0.044745793149305976
common,Raw Indices,Dissimilarity-based Satoyama Index,2030,0.039209867145198314,0.003890861029937528,0.03140060256630462,0.03958939617036529,0.04467642877935262
common,Raw Indices,Dissimilarity-based Satoyama Index,2050,0.03929470798651305,0.005352343516402341,0.02933635141041214,0.04157101381366261,0.04645861902011554
common,Raw Indices,Dissimilarity-based Satoyama Index,2090,0.03953808274919294,0.006245872455813525,0.028966003121897167,0.04277177733553729,0.04760851361921817
common,Raw Indices,NEP,2015,0.2542261647616783,0.10950350894177688,0.160295521,0.21469242889999998,0.5635691356
common,Raw Indices,NEP,2030,0.18871356566345454,0.022164625433828862,0.1450084125,0.18526049379999998,0.29242568129999996
common,Raw Indices,NEP,2050,0.16330976862027272,0.024011956728386862,0.1180182241,0.1605738041,0.2901514572
common,Raw Indices,NEP,2090,0.2721612363351818,0.040310795404024664,0.1765214492,0.26967782165,0.4095269177
common,Raw Indices,Total Tree Biomass,2015,4441.795996811189,234.4508375415632,4011.37204,4385.42875,6128.55119
common,Raw Indices,Total Tree Biomass,2030,4877.9516903545455,356.57028247362814,4306.7177599999995,4898.304955,7275.02102
common,Raw Indices,Total Tree Biomass,2050,4921.692230281818,547.9310884957789,3836.57332,4848.38409,8205.16188
common,Raw Indices,Total Tree Biomass,2090,7025.789513036364,887.7365365340082,5126.16561,6869.517879999999,10205.98877
common,Raw Indices,Simpson's Diversity Index of Tree Biomass,2015,0.7902049891325891,0.004825034464894223,0.7800426962493227,0.7896760491406234,0.7994273893457455
common,Raw Indices,Simpson's Diversity Index of Tree Biomass,2030,0.7779236507287937,0.0038740327222860126,0.7666504525652225,0.7783962839259233,0.7873911673647004
common,Raw Indices,Simpson's Diversity Index of Tree Biomass,2050,0.7787587782362705,0.011552322020922198,0.7417298064983857,0.7784263729028558,0.8019259536508269
common,Raw Indices,Simpson's Diversity Index of Tree Biomass,2090,0.7882792035698405,0.011136498772627092,0.7525580986971812,0.789602068562264,0.8059131563596621
common,Raw Indices,% of Natural f_continuescape,2015,0.9893096274343863,0.0043166946986521425,0.9684045284625311,0.9917386156527291,0.9917386156527291
common,Raw Indices,% of Natural f_continuescape,2030,0.984990282502821,0.009605053882093113,0.951296412084769,0.9917386156527291,0.9917386156527291
common,Raw Indices,% of Natural f_continuescape,2050,0.9771388834130124,0.02056189862009552,0.913634610012106,0.9917386156527291,0.9917386156527291
common,Raw Indices,% of Natural f_continuescape,2090,0.9645692917413973,0.03542849977331761,0.8780880416128989,0.9917386156527291,0.9917386156527291
common,Raw Scaled Indices,Dissimilarity-based Satoyama Index,2015,0.2831209515161486,0.19760839625241575,0,0.24853770620059168,0.8476078752154583
common,Raw Scaled Indices,Dissimilarity-based Satoyama Index,2030,0.5614314366616718,0.201135772340353,0.1577360976607917,0.5810509663789198,0.844022124910803
common,Raw Scaled Indices,Dissimilarity-based Satoyama Index,2050,0.5658172340501023,0.2766862498349757,0.05102584834829767,0.6834895248627926,0.9361514011237457
